TemplateID,GreenRatio,BlueRatio,GreenRank,BlueRank
19,0.1336,0.0285,432,758
570,0.1336,0.0224,433,961
342,0.1336,0.0313,434,539
270,0.1336,0.0312,435,558
503,0.1335,0.028,436,792
389,0.1335,0.0295,437,688
622,0.1335,0.0346,438,244
305,0.1335,0.0393,439,45
734,0.1334,0.0329,440,372
311,0.1334,0.0318,441,474
548,0.1334,0.0345,442,255
594,0.1334,0.0338,443,296
802,0.1333,0.0312,444,549
237,0.1333,0.0324,445,425
741,0.1333,0.0284,446,761
131,0.1332,0.0371,447,122
202,0.1332,0.0241,448,935
99,0.1332,0.0394,449,43
366,0.1331,0.0345,450,250
518,0.1331,0.0328,451,384
525,0.1331,0.0297,452,677
808,0.133,0.0312,453,554
427,0.133,0.0325,454,415
883,0.133,0.0255,455,907
934,0.133,0.0309,456,584
967,0.133,0.0286,457,745
286,0.1329,0.0329,458,365
612,0.1329,0.0303,459,644
895,0.1329,0.0298,460,675
983,0.1329,0.0355,461,191
301,0.1329,0.0287,462,741
439,0.1329,0.0286,463,749
922,0.1328,0.0239,464,943
878,0.1328,0.0307,465,611
947,0.1328,0.0285,466,750
538,0.1327,0.0301,467,660
964,0.1327,0.0278,468,805
94,0.1327,0.029,469,717
868,0.1327,0.0238,470,945
629,0.1326,0.0282,471,779
811,0.1326,0.031,472,575
882,0.1326,0.0383,473,60
169,0.1326,0.0326,474,411
589,0.1326,0.0239,475,942
43,0.1325,0.0307,476,601
456,0.1325,0.0359,477,175
692,0.1325,0.036,478,166
153,0.1325,0.0327,479,387
430,0.1324,0.0308,480,599
659,0.1324,0.0327,481,397
847,0.1324,0.0284,482,760
949,0.1324,0.0244,483,932
703,0.1324,0.027,484,859
954,0.1323,0.0328,485,385
768,0.1322,0.0363,486,160
932,0.1322,0.0386,487,49
995,0.1322,0.033,488,360
279,0.1321,0.0322,489,441
409,0.1321,0.0328,490,381
717,0.1321,0.0303,491,640
60,0.1321,0.0243,492,933
319,0.132,0.0366,493,144
819,0.132,0.0309,494,581
297,0.132,0.0375,495,101
433,0.132,0.029,496,724
564,0.1319,0.0321,497,445
22,0.1319,0.0325,498,412
874,0.1319,0.0242,499,934
806,0.1319,0.0336,500,313
133,0.1318,0.0382,501,63
259,0.1318,0.0245,502,929
645,0.1318,0.029,503,715
69,0.1318,0.0315,504,514
196,0.1318,0.0299,505,664
256,0.1318,0.0304,506,630
122,0.1317,0.0316,507,493
893,0.1317,0.0334,508,324
871,0.1317,0.034,509,282
795,0.1317,0.0251,510,916
757,0.1317,0.0295,511,693
609,0.1317,0.0273,512,833
347,0.1316,0.0309,513,576
123,0.1316,0.032,514,451
912,0.1316,0.0342,515,269
944,0.1316,0.0268,516,868
40,0.1316,0.0384,517,53
730,0.1315,0.0316,518,500
470,0.1315,0.0351,519,213
247,0.1315,0.032,520,461
445,0.1315,0.0302,521,651
352,0.1314,0.0249,522,919
639,0.1314,0.0268,523,873
533,0.1314,0.0372,524,120
946,0.1314,0.035,525,223
360,0.1314,0.0338,526,298
194,0.1312,0.0329,527,371
190,0.1312,0.032,528,458
831,0.1312,0.0371,529,124
511,0.1312,0.0268,530,865
327,0.1312,0.0368,531,136
574,0.1312,0.0305,532,621
830,0.1311,0.0374,533,107
797,0.1311,0.0313,534,546
913,0.1311,0.0323,535,428
428,0.1311,0.031,536,574
106,0.1311,0.0309,537,582
51,0.131,0.0374,538,105
450,0.131,0.0241,539,938
625,0.131,0.0281,540,784
34,0.1309,0.0309,541,577
135,0.1309,0.0339,542,290
91,0.1309,0.0385,543,50
425,0.1309,0.0238,544,947
478,0.1308,0.0325,545,414
694,0.1308,0.0312,546,557
320,0.1308,0.034,547,287
858,0.1307,0.0277,548,811
775,0.1307,0.0326,549,408
467,0.1307,0.0323,550,432
704,0.1307,0.0358,551,183
554,0.1306,0.0381,552,74
197,0.1306,0.0316,553,501
365,0.1306,0.0337,554,304
745,0.1306,0.0318,555,482
404,0.1305,0.0254,556,909
534,0.1305,0.0323,557,431
619,0.1305,0.0343,558,267
803,0.1305,0.0271,559,847
547,0.1305,0.0305,560,627
302,0.1305,0.0271,561,848
316,0.1304,0.0281,562,782
650,0.1303,0.0329,563,364
514,0.1303,0.0268,564,872
747,0.1303,0.0407,565,35
264,0.1303,0.0275,566,818
64,0.1302,0.0334,567,325
543,0.1302,0.0363,568,157
522,0.1302,0.0408,569,34
963,0.1302,0.0349,570,231
938,0.1302,0.0438,571,18
343,0.1302,0.028,572,794
921,0.1302,0.0332,573,342
572,0.1301,0.0285,574,756
899,0.1301,0.0253,575,913
807,0.1301,0.0316,576,503
76,0.1301,0.0272,577,841
584,0.1301,0.0312,578,556
928,0.1301,0.0313,579,540
67,0.1301,0.0311,580,565
243,0.1301,0.0247,581,924
12,0.13,0.0272,582,838
85,0.13,0.038,583,75
758,0.13,0.0313,584,535
31,0.13,0.0304,585,634
230,0.13,0.0248,586,922
453,0.13,0.0359,587,172
508,0.13,0.0313,588,541
132,0.1299,0.0315,589,511
855,0.1299,0.0316,590,507
313,0.1299,0.0308,591,590
604,0.1299,0.034,592,283
597,0.1299,0.0271,593,850
817,0.1299,0.0255,594,908
497,0.1299,0.0327,595,389
550,0.1298,0.0305,596,622
837,0.1298,0.0351,597,218
864,0.1298,0.0369,598,134
53,0.1298,0.0306,599,615
23,0.1298,0.0332,600,336
752,0.1298,0.0331,601,358
678,0.1298,0.0244,602,930
175,0.1297,0.0374,603,108
905,0.1297,0.0341,604,278
227,0.1297,0.0271,605,854
857,0.1297,0.0307,606,602
323,0.1297,0.034,607,281
318,0.1297,0.0303,608,649
904,0.1297,0.0384,609,55
50,0.1297,0.0355,610,195
851,0.1296,0.029,611,725
813,0.1296,0.0313,612,542
735,0.1296,0.0352,613,208
251,0.1296,0.0377,614,94
804,0.1296,0.037,615,130
884,0.1296,0.0343,616,262
567,0.1296,0.0378,617,89
455,0.1296,0.0323,618,433
737,0.1296,0.0359,619,171
293,0.1296,0.0297,620,683
242,0.1295,0.032,621,452
363,0.1295,0.0327,622,388
267,0.1295,0.0318,623,488
58,0.1295,0.0409,624,32
300,0.1295,0.0357,625,187
273,0.1295,0.0364,626,149
245,0.1295,0.0271,627,846
729,0.1295,0.0322,628,440
519,0.1295,0.0257,629,901
990,0.1295,0.0288,630,730
314,0.1295,0.0291,631,710
139,0.1295,0.0347,632,239
801,0.1295,0.0353,633,205
952,0.1295,0.0334,634,329
117,0.1295,0.0308,635,589
829,0.1294,0.0342,636,274
784,0.1294,0.0255,637,906
774,0.1294,0.0338,638,292
431,0.1294,0.0375,639,102
630,0.1294,0.0284,640,763
573,0.1294,0.0356,641,189
823,0.1294,0.0368,642,137
679,0.1293,0.0327,643,402
215,0.1293,0.0369,644,135
95,0.1293,0.0351,645,214
61,0.1293,0.0355,646,194
739,0.1293,0.0252,647,914
746,0.1293,0.0279,648,799
711,0.1293,0.0308,649,600
982,0.1293,0.0245,650,928
414,0.1293,0.0312,651,562
697,0.1293,0.0382,652,68
49,0.1293,0.0295,653,694
885,0.1293,0.0369,654,133
299,0.1293,0.0276,655,816
984,0.1292,0.0349,656,233
970,0.1292,0.0279,657,797
787,0.1292,0.0238,658,944
10,0.1292,0.032,659,454
381,0.1292,0.0342,660,277
901,0.1291,0.0349,661,230
21,0.1291,0.0325,662,417
399,0.1291,0.0418,663,29
911,0.1291,0.0312,664,555
662,0.1291,0.0329,665,368
669,0.1291,0.0324,666,420
312,0.1291,0.0358,667,180
957,0.1291,0.0315,668,513
140,0.129,0.031,669,572
718,0.129,0.0379,670,82
89,0.129,0.0345,671,258
850,0.129,0.0326,672,405
354,0.129,0.026,673,894
633,0.129,0.0358,674,184
437,0.129,0.0358,675,178
760,0.129,0.0268,676,866
120,0.1289,0.0359,677,173
26,0.1289,0.0318,678,476
583,0.1289,0.0426,679,22
338,0.1289,0.0317,680,492
714,0.1289,0.0423,681,24
57,0.1289,0.038,682,77
421,0.1289,0.038,683,76
66,0.1289,0.024,684,939
487,0.1288,0.027,685,861
860,0.1288,0.0374,686,103
942,0.1288,0.0379,687,80
272,0.1288,0.0382,688,67
288,0.1288,0.0336,689,310
796,0.1288,0.0316,690,502
20,0.1288,0.0241,691,936
880,0.1288,0.0319,692,468
167,0.1288,0.0379,693,79
331,0.1287,0.0357,694,186
384,0.1287,0.0439,695,17
38,0.1287,0.031,696,569
362,0.1287,0.0315,697,516
287,0.1287,0.0258,698,900
341,0.1287,0.0331,699,356
446,0.1287,0.0344,700,259
965,0.1286,0.0328,701,376
392,0.1286,0.0373,702,113
228,0.1286,0.0383,703,59
960,0.1286,0.0277,704,813
277,0.1286,0.0289,705,728
596,0.1286,0.0366,706,142
163,0.1286,0.0304,707,633
444,0.1285,0.0241,708,937
172,0.1285,0.0337,709,301
814,0.1285,0.0273,710,837
606,0.1285,0.0273,711,835
416,0.1285,0.0381,712,73
552,0.1285,0.0271,713,852
63,0.1285,0.0303,714,637
86,0.1285,0.0264,715,884
812,0.1285,0.0264,716,885
423,0.1284,0.0307,717,605
87,0.1284,0.0336,718,312
118,0.1284,0.029,719,714
762,0.1284,0.0377,720,97
92,0.1284,0.0323,721,427
563,0.1284,0.0318,722,484
782,0.1283,0.0384,723,52
78,0.1283,0.0309,724,583
475,0.1283,0.0337,725,303
641,0.1283,0.0439,726,16
426,0.1283,0.0316,727,509
989,0.1283,0.027,728,857
781,0.1283,0.0341,729,280
902,0.1283,0.0307,730,606
47,0.1283,0.0355,731,196
978,0.1282,0.0327,732,391
154,0.1282,0.0382,733,65
109,0.1282,0.0372,734,119
513,0.1282,0.0349,735,232
719,0.1282,0.036,736,167
827,0.1282,0.0346,737,249
30,0.1282,0.0373,738,112
217,0.1282,0.0275,739,819
377,0.1282,0.0373,740,109
212,0.1282,0.0364,741,150
779,0.1281,0.0319,742,471
113,0.1281,0.0273,743,830
610,0.1281,0.0294,744,702
586,0.1281,0.037,745,129
298,0.1281,0.0285,746,754
484,0.1281,0.0305,747,623
268,0.1281,0.0269,748,863
939,0.1281,0.0278,749,803
104,0.1281,0.0273,750,834
985,0.1281,0.0314,751,521
